resource_id,name,agency,description,contact,n_downloads,category,percent_datatypes,percent_descriptions
gkne-dk5s,2014 Yellow Taxi Trip Data,Taxi and Limousine Commission (TLC),"This dataset includes trip records from all trips completed in yellow taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Taxicab Passenger Enhancement Program (TPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data. 
Data Dictionary for this dataset can be found here:   
http://www.nyc.gov/html/tlc/downloads/pdf/data_dictionary_trip_records_yellow.pdf",,600,Transportation,1.0,1.0
ubdi-jgw2,DCAS Managed Building Energy Usage,Department of Citywide Administrative Services (DCAS),City Building Energy Usage Data.,,2364,City Government,1.0,0.5294117647058824
rqhp-hivt,Scorecard Ratings,Mayor's Office of Operations (OPS),"Street and sidewalk cleanliness ratings.

NOTE: Due to a software coding error that’s since been corrected, some cleanliness rating data between November 2018 and July 2019 was found to be incomplete, and citywide scores cannot be re-calculated at the level of confidence required to be included in scorecard open data set.",,2112,City Government,1.0,1.0
63nx-cpi9,Civilian Complaint Review Board (CCRB) - Complaints Received,Civilian Complaint Review Board (CCRB),"The New York City Civilian Complaint Review Board (CCRB) is an independent agency. It is empowered to receive, investigate, mediate, hear, make findings, and recommend action on complaints against New York City police officers alleging the use of excessive or unnecessary force, abuse of authority, discourtesy, or the use of offensive language. The Board’s investigative staff, composed entirely of civilian employees, conducts investigations in an impartial fashion. The Board forwards its findings to the police commissioner.

Note: More than one allegation may be in a complaint.",,1445,Public Safety,1.0,1.0
98b7-th5j,Licensed Wholesale Cigarette Dealers,Department of Finance (DOF),"Licensed cigarette agent-jobbers, sub-jobbers, or vending machine operators.",,630,,1.0,1.0
gysc-yn4h,NYC City Hall Library Catalog,Department of Records and Information Services (DORIS),The City Hall Library is New York City's official depository for all agency published reports and studies. More info can be found at http://nyc.gov/html/records/html/about/chlibrary.shtml,,5214,Recreation,1.0,0.0
p6bh-gqsg,Union Square Partnership (USP) Business List,Other,Directory of businesses in the Union Square area,,4107,Business,1.0,0.0
ikqj-pyhc,DOF: Condominium comparable rental income – Manhattan - FY 2010/2011,Department of Finance (DOF),"The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Schedule: Annually",,3098,Housing & Development,1.0,0.0
423i-ukqr,Local Law 18 Pay and Demographics Report - Agency Report Table,Office of Technology and Innovation (OTI),"The Agency Report Table aggregates pay and employment characteristics in accordance with the requirements of Local Law 18 of 2019. The Table is a point-in-time snapshot of employees who were either active or on temporary leave (parental leave, military leave, illness, etc.) as of December 31st of each year the data is available (see Column ""Data Year""). In addition, the Table contains snapshot data of active employees in seasonal titles as of June 30th. To protect the privacy of employees, the sign “<5” is used instead of the actual number for groups of less than five (5) employees, in accordance with the Citywide Privacy Protection Policies and Protocols. The Pay and Demographics Report, and the list of agencies included is available on the MODA Open Source Analytics Library: https://modaprojects.cityofnewyork.us/local-law-18/

Each row represents a group of employees with a common agency, EEO-4 Job Category, pay band, employee status and demographic attributes, which include race, ethnicity and gender.",,590,City Government,1.0,1.0
mpqk-skis,Community Food Connection (CFC),Human Resources Administration (HRA),Quarterly report showing the number of individuals served meals in food pantries and soup kitchens.,,2655,Social Services,1.0,1.0
7btz-mnc8,NYC REACH Members,Department of Health and Mental Hygiene (DOHMH),"The location and facility information for doctors who participate in NYC Regional Electronic Adoption Center for Health (REACH), which assists providers in adopting technology and methods for electronic health records.",,8759,Health,1.0,1.0
27x4-cbi6,Pregnancy-Associated Mortality,Department of Health and Mental Hygiene (DOHMH),"Maternal mortality is widely considered an indicator of overall population health and the status of women in the population. DOHMH uses multiple methods including death certificates, vital records linkage, medical examiner records, and hospital discharge data to identify all pregnancy-associated deaths (deaths that occur during pregnancy or within a year of the end of pregnancy) of New York state residents in NYC each year. DOHMH convenes the Maternal Mortality and Morbidity Review Committee (M3RC), a multidisciplinary and diverse group of  40 members that conducts an in-depth, expert review of each pregnancy-associated death of New York state residents occurring in NYC from both clinical and social determinants of health perspectives. The data in this table come from vital records and the M3RC review process. Data are not cross-classified on all variables:  cause of death data are available by the relation to pregnancy (pregnancy-related, pregnancy-associated but not related, unable to determine), race/ethnicity and borough of residence data are each separately available for the total number of pregnancy-associated deaths and pregnancy-related deaths only.",,2245,Health,1.0,1.0
9b9u-8989,NYC Business Acceleration Businesses Served and Jobs Created,Department of Small Business Services (SBS),"The list tracks the number of businesses that NYC Business Acceleration has assisted in opening and how many jobs were created by those businesses. This data is up to date as of the date reflected in the ""About"" tab of this dataset.",,2863,Business,1.0,0.0
5vr7-5fki,NYPD Personnel Demographics,Police Department (NYPD),List of NYPD members of service,,1556,Public Safety,1.0,0.875
6fi9-q3ta,Brooklyn Bridge Automated Pedestrian Counts Demonstration Project,Department of Transportation (DOT),DOT is testing automated technology to count pedestrians. The counter is located on the Manhattan approach of the Brooklyn Bridge.,,2740,Transportation,1.0,0.5238095238095238
g9ub-hrve,Active Projects - Public Buildings (Historical),Department of Design and Construction (DDC),List of currently active buildings projects including description and high level schedule and budget range.,,2424,Housing & Development,1.0,1.0
gyrw-gvqc,Social Distancing: Parks Crowds Data,Department of Parks and Recreation (DPR),"During the Covid-19 response, staff from NYC Parks Maintenance and Operations (M&O) division educated patrons on social distancing in addition to their regularly assigned tasks . This dataset contains encounters recorded by these M&O staff.

This is part of the NYC Parks Covid-19 Social Distancing and Enforcement Data Collection: https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=NYC+Parks+Covid-19+Social+Distancing+and+Enforcement&q=nyc+parks+covid

Data Dictionary:

https://docs.google.com/spreadsheets/d/1ACe2s46twuRCzGB7rXAaNUkaM61awq2yzR6WOJckVUI/edit?usp=sharing",,2456,,1.0,0.0
qiwj-eg47,Intimate Partner Violence Related Snapshots: New York City Community Board Districts,Mayor’s Office to End Domestic and Gender-Based Violence,"The dataset contains annual count data for the number of intimate partner related domestic incident reports, intimate partner-related felony assaults, domestic violence related felony assaults, intimate partner-related rapes and domestic violence related rapes.

The Mayor's Office to Combat Domestic Violence (OCDV) formulates policies and programs, coordinates the citywide delivery of domestic violence services and works with diverse communities and community leaders to increase awareness of domestic violence. OCDV collaborates closely with government and nonprofit agencies that assist domestic violence survivors and operates the New York City Family Justice Centers. These co‐located multidisciplinary domestic violence service centers provide vital social service, civil legal and criminal justice assistance for survivors of intimate partner violence and their children under one roof. OCDV also has a Policy and Training Institute that provides trainings on intimate partner violence to other City agencies. The New York City Healthy Relationship Academy, with is part of the Policy and Training Institute,  provides peer lead workshops on healthy relationships and teen dating violence to individuals between the age of 13 and 24, their parents and staff of agencies that work with youth in that age range.  The dataset is collected to produce an annual report on the number of family-related and domestic violence related incidents that occur at the community board district level in New York City. The New York City Police Department provides OCDV with count data on: Intimate partner related domestic incident reports, intimate partner related felony assaults, domestic violence felony assaults, intimate partner related rapes and domestic violence related rapes.",,1364,Public Safety,1.0,1.0
6khm-nrue,Demographics by Borough,Department of Youth and Community Development (DYCD),"This dataset provides a Demographic breakdown of only DYCD-funded participants within a Borough of NYC. The data displays the counts, and percentages of the participants in each of the following categories:
●	Gender (Male, Female, Unknown)
●	Ethnicity (Hispanic/Latino, non-Hispanic/non-Latino)
●	Race (Pacific Islander, American Indian, Asian, White, Black, Other, Unknown)
This data is used to measure the numbers of the different population groups that are served by DYCD for a Borough, and Community.",,949,Social Services,1.0,0.0
k3ks-jzek,DSNY Waste Characterization: Mainsort,Department of Sanitation (DSNY),"The Department conducted the 2017 NYC Residential, School, and NYCHA (NYC Housing Authority) Waste Characterization Study over three seasons: spring, summer, and fall. This study builds on decades of research and analysis into the evolving composition of NYC's waste stream. The study team hand sorted samples into 70 main sort categories. Sub-sorting of an additional 172 categories was conducted to get a more detailed understanding of the wide variety of plastic products in the waste stream, as well as a sub-set of Paper products. Results are presented in absolute terms as the quantity by weight of each material type. The quantity of each materials is calculated by applying the percent composition to the total quantity of DSNY collections for fiscal year 2017 (July 2016-June 2017). 

The residential characterization included four residential curbside collection streams: Refuse, Paper, MGP (metal/glass/plastic), and Organics. 
The school characterization included Refuse, Paper, and MGP streams collected on dedicated school collection routes. For the purposes of this study, DSNY did not characterize Organics separated for diversion but instead included organic waste in the school Refuse stream. The NYCHA characterization focused sample collection from the large compacting containers used by DSNY to collect Refuse at NYCHA's large campus-style developments.

For more information about how DSNY conducted this study and previous waste characterization studies, see: https://www1.nyc.gov/assets/dsny/site/resources/reports/waste-characterization 
For information on NYC's recycling programs, see: https://www1.nyc.gov/assets/dsny/site/services/recycling",,724,City Government,1.0,1.0
fudw-fgrp,NYC Parks Events Listing – Event Listing,Department of Parks and Recreation (DPR),"The NYC Parks Events Listing database is used to store event information displayed on the Parks website, nyc.gov/parks. There are seven related tables that make up the this database: 

1. Events_Events table (This is the primary table that contains basic data about every event. Each record is an event.)
2. Events_Categories (Each record is a category describing an event. One event can be in more than one category.)
3. Events_Images (Each record is an image related to an event. One event can have more than one image.)
4. Events_Links (Each record is a link with more information about an event. One event can have more than one link.)
5. Events_Locations  (Each record is a location where an event takes place. One event can have more than one location.)
6. Events_Organizers  (Each record contains a group or person organizing an event. One event can have more than one organizer.)
7. Events_YouTube  (Each record is a link to a YouTube video about an event. One event can have more than one YouTube video.)

The Events_Events table is the primary table. All other tables can be related by joining on the event_id. This data contains records from  2013 and on. For a complete list of related datasets, please follow This Link",,9266,City Government,1.0,0.0
4kpn-sezh,NYC Condom Availability Program - HIV condom distribution locations,Department of Health and Mental Hygiene (DOHMH),"This is a list of over 325 venues, across the five boroughs that actively distribute free safer sex products.  Product availability varies by venue. 
The NYC Condom Availability Program maintains a robust list of active venues where New York City (NYC) residents may access free safer sex products across all 5 boroughs of NYC. This list is updated through a variety of mechanisms supported by the NYC Department of Health and Mental Hygiene (NYC DOHMH). At minimum, different sub-sets of this dataset are updated monthly by several vetted DOHMH contracted agencies. Other subsets of this dataset are updated in real-time by NYC Safer Sex Portal users. This entire dataset is refreshed in OpenData on a daily basis.
This dataset shows where New York City residents can access NYC free safer sex products throughout the five boroughs. Each row represents pertinent information related to a single venue which distributes NYC safer sex products. 
This data is collected and maintained to populate the NYC HealthMap (https://a816-healthpsi.nyc.gov/NYCHealthMap/home/) and may be used by other safer sex product [condom/lubricant] locators or map publically available locations.
This dataset does not represent all locations which received orders of free safer sex products from NYC DOHMH nor have the listed venues [locations] been endorsed by NYC DOHMH. Furthermore, while the data is sourced from the NYC HealthMap there could be a lag between what is visible inside the HealthMap’s user interface and what is seen on OpenData. The NYC HealthMap is updated ~hourly while OpenData is updated daily. If there are data discrepancies between your export and what is seen inside OpenData’s “View Data” please clear your browsing history/cache and restart your browser.",,2714,Health,1.0,1.0
5yay-3jd5,"DOF: Summary of Neighborhood Sales for Manhattan for Class 1-, 2- and 3-Family homes - 2009",Department of Finance (DOF),"The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Manhattan in 2009.",,3639,Housing & Development,1.0,0.0
qfs9-xn8t,NYCDCP Manhattan Bike Counts - On Street Weekday,Department of City Planning (DCP),"The Transportation Division of the New York City Department of City Planning (NYCDCP) has performed annual bike counts in Manhattan since 1999. The counts have been conducted along designated bicycle routes at 10 on-street and 5 off-street locations during the fall season. These locations have remained generally consistent. The data collected includes cyclist/user volumes, helmet usage, use of bike lane, gender, etc. The bike counts data can offer insights into the overall trends in user demographics and travel patterns over time.

All previously released versions of this data are available at BYTES of the BIG APPLE- Archive",,1631,Transportation,1.0,0.0
63us-eqtq,Public Dataset Requests,Office of Technology and Innovation (OTI),This dataset contains the list of dataset nominations submitted to the NYC Open Data team.,,25856,City Government,1.0,0.0
thut-5mdg,COVID-19 Expenditures Report,Mayor's Office of Management & Budget (OMB),"This dataset includes every expenditure transaction incurred by a City agency under a ""CV"" and “CR” budget code. Underlying data is taken directly from the City's Financial Management System (FMS) with very few alterations. Dataset includes accounting entries such as automated accruals and journals. Dollar amounts are in actual dollars. This dataset will be refreshed on a quarterly basis.",,615,City Government,1.0,1.0
vsgi-eeb5,2017-2018 SHSAT Admissions Test Offers By Sending School,Department of Education (DOE),SHSAT Admissions,,949,Education,1.0,0.0
bhwu-wuzu,Heating Oil Consumption And Cost (2010 - Feb 2022),New York City Housing Authority (NYCHA),Monthly consumption and cost data by borough and development. Data set includes utility vendor and meter information.,,1415,Housing & Development,1.0,0.9047619047619048
dxnu-p2qd,"HIV/AIDS Diagnoses by Neighborhood, Age Group, and Race/Ethnicity",Department of Health and Mental Hygiene (DOHMH),"These data were reported to the NYC DOHMH by March 31, 2021

This dataset includes data on new diagnoses of HIV and AIDS in NYC for the calendar years 2016 through 2020. Reported cases and case rates (per 100,000 population) are stratified by United Hospital Fund (UHF) neighborhood, age group, and race/ethnicity.

Note: 
- Cells marked ""NA"" cannot be calculated because of cell suppression or 0 denominator.",,1612,Health,1.0,0.9090909090909091
3mrr-8h5c,2006 - 2012  Math Test Results  - All Students,Department of Education (DOE),Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by school.,,2419,Education,1.0,0.0
8b6c-7uty,2021 DOE High School Directory,Department of Education (DOE),Directory of Department of Education High Schools in 2021.,,2081,Education,1.0,0.0
x2hp-8ukt,2005 - 2011 Graduation Outcomes - Borough - Ethnicity,Department of Education (DOE),Latest available data and trends in graduation and dropout outcomes disaggregated by borough and ethnicity.,,2495,Education,1.0,0.0
yrt9-58g8,2020 High Volume FHV Trip Records,Taxi and Limousine Commission (TLC),"These records are generated from the trip record submissions made by High Volume For-Hire Vehicle (FHV) bases. On August 14, 2018, Mayor de Blasio signed Local Law 149 of 2018, creating a new license category for TLC-licensed FHV businesses that currently dispatch or plan to dispatch more than 10,000 FHV trips in New York City per day under a single brand, trade, or operating name, referred to as High-Volume For-Hire Services (HVFHS). This law went into effect on Feb 1, 2019. Each row represents a single trip in a FHV dispatched by a high volume base in 2020.  The trip records include fields capturing the high volume license number, the pickup and drop-off date, time, and taxi zone location ID, which correspond with the NYC Taxi Zones open dataset.",,1318,Transportation,1.0,0.0
csps-2ne9,2014-15 To 2016-17 School- Level NYC Regents Report For All Variables,Department of Education (DOE),School-Level New York State Regents Exams Results,,1119,Education,1.0,0.0
9hyh-zkx9,ACS Community Partners,Administration for Children's Services (ACS),"List of preventive providers with locations, contact information, office hours.",,2255,Social Services,1.0,0.0
quxm-hmyr,LinkNYC Kiosk Status (Historical),Office of Technology and Innovation (OTI),"This dataset provides the most current listing of LinkNYC Kiosks, their location, and the status of the Link’s wifi, tablet, and phone.",,1455,City Government,1.0,0.7435897435897436
7xq6-k6zy,Appeals Filed In 2017,Civil Service Commission,A list of all appeals filed with the Civil Service Commission in 2017. This list includes both Civil Service Law Section 50 Disqualification Appeals and Civil Service Law Section 76 Disciplinary Appeals.,,7710,City Government,1.0,0.0
an6v-iuem,NYCHA Resident Jobs Programs and Training,New York City Housing Authority (NYCHA),Job preparation or training programs,,2458,Social Services,1.0,1.0
if26-z6xq,Food Scrap Drop-Off Locations in NYC,Department of Sanitation (DSNY),Locations where NYC residents can drop off their food scraps to be composted. Visit https://www1.nyc.gov/assets/dsny/site/services/food-scraps-and-yard-waste-page/nyc-food-scrap-drop-off-locations for participating locations.,,1367,Environment,1.0,0.9583333333333334
gqq2-hgxd,2016-17 - 2020-21 School End-of-Year Attendance and Chronic Absenteeism Data,Department of Education (DOE),"Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools, home schooling, and home and hospital instruction are excluded. Pre-K data do not include NYC Early Education Centers or District Pre-K Centers; therefore, Pre-K data are limited to those who attend K-12 schools that offer Pre-K. Transfer schools are included in citywide, borough, and district counts but removed from school-level files.
Attendance is attributed to the school the student attended at the time. If a student attends multiple schools in a school year, the student will contribute data towards multiple schools.
Starting in 2020-21, the NYC DOE transitioned to NYSED's definition of chronic absenteeism. Students are considered chronically absent if they have an attendance of 90 percent or less (i.e. students who are absent 10 percent or more of the total days). In order to be included in chronic absenteeism calculations, students must be enrolled for at least 10 days (regardless of whether present or absent) and must have been present for at least 1 day. The NYSED chronic absenteeism definition is applied to all prior years in the report.
School-level chronic absenteeism data reflect chronic absenteeism at a particular school. In order to eliminate double-counting students in chronic absenteeism counts, calculations at the district, borough, and citywide levels include all attendance data that contribute to the given geographic category. For example, if a student was chronically absent at one school but not at another, the student would only be counted once in the citywide calculation. For this reason, chronic absenteeism counts will not align across files.
All demographic data are based on a student's most recent record in a given year.
Students With Disabilities (SWD) data do not include Pre-K students since Pre-K students are screened for IEPs only at the parents' request.
English language learner (ELL) data do not include Pre-K students since the New York State Education Department only begins administering assessments to be identified as an ELL in Kindergarten.
Only grades PK-12 are shown, but calculations for ""All Grades"" also include students missing a grade level, so PK-12 may not add up to ""All Grades"". 
Data include students missing a gender, but are not shown due to small cell counts.
Data for Asian students include Native Hawaiian or Other Pacific Islanders . Multi-racial and Native American students, as well as students missing ethnicity/race data are included in the ""Other"" ethnicity category.
In order to comply with the Family Educational Rights and Privacy Act (FERPA) regulations on public reporting of education outcomes, rows with five or fewer students are suppressed, and have been replaced with an ""s"". Using total days of attendance as a proxy , rows with 900 or fewer total days are suppressed. In addition, other rows have been replaced with an ""s"" when they could reveal, through addition or subtraction, the underlying numbers that have been redacted. Chronic absenteeism values are suppressed, regardless of total days, if the number of students who contribute  at least 20 days is five or fewer. 
Due to the COVID-19 pandemic and resulting shift to remote learning in March 2020, 2019-20 attendance data was only available for September 2019 through March 13, 2020. Interactions data from the spring of 2020 are reported on a separate tab.
Interactions were reported by schools during remote learning, from April 6 2020 through June 26 2020 (a total of 57 instructional days, excluding special professional development days of June 4 and June 9). Schools were required to indicate any student from their roster that did not have an interaction on a given day. Schools were able to define interactions in a way that made sense for their students and families. Definitions of an interaction included:
• Student submission of an assignment or completion of an",,408,Education,1.0,0.0
9k82-ys7w,Bid Tabulations (Historical),Department of Citywide Administrative Services (DCAS),"Bids received in response to Competitive Sealed Bid (CSB) solicitations are opened publicly, at the time, date, and place designated in the Invitation for Bid (IFB). The name of each bidder, the bid price, and such other information as is deemed appropriate is read aloud or otherwise made available.

The bids are tabulated and made available for public inspection. The opened bids are made available for public inspection at a reasonable time after bid opening but in any case before vendor selection, except to the extent the bidder designates trade secrets or other proprietary data to be confidential.",,2492,City Government,1.0,1.0
3w89-mz4u,2017-2018 Class Size Report Borough K-8 Average Class Size,Department of Education (DOE),2017-2018 Class Size Report Borough K-8 Average Class Size,,546,Education,1.0,0.0
vjbm-hsyr,Parks Trails,Department of Parks and Recreation (DPR),Location of paths or trails in designated Forever Wild areas of NYC Parks.,,1095,Environment,1.0,0.9090909090909091
2xir-kwzz,DOHMH Beach Water Quality Data,Department of Health and Mental Hygiene (DOHMH),"Water quality sample results collected by the Department of Health and Mental Hygiene at all New York City Beaches. These water quality results are used by the Department to determine the status (open, advisory, closed) of Beaches.",,2098,Health,1.0,0.16666666666666666
avhb-5jhc,Cooking Gas Consumption And Cost (2010 - Feb 2023),New York City Housing Authority (NYCHA),Monthly consumption and cost data by borough and development. Data set includes utility vendor and meter information.,,976,Housing & Development,1.0,0.96
478a-yykk,Street Closures due to construction activities by Intersection,Department of Transportation (DOT),"DOT Street Closure data identifies locations in the New York City Street Closure map where a street is subject to a full closure, restricting through traffic, for the purpose of conducting construction related activity on a City street. Details about DOT construction permits can be found at Street Works Manual, http://streetworksmanual.nyc/.  Full Closure Permits are issued for a period of time during which the street may be closed to through traffic for only a portion of the time, and open at other times.

Additional information regarding which part of the street and during which period of time it is fully closed is included only on the permit itself.",,3341,Transportation,1.0,1.0
ffnc-f3aa,2009 - 2010 School Progress Reports - All Schools,Department of Education (DOE),"2009/10 Progress Report results for all schools (data as of 2/2/2011)

Peer indexes are calculated differently depending on School Level.  Schools are only compared to other schools in the same School Level (e.g., Elementary, K-8, Middle, High, Transfer)

1) Elementary, K-8, K-3, K-2 - peer index is a value from 0-100.  We use a composite demographic statistic based on % ELL, % SpEd, % Title I free lunch, and % Black/Hispanic.  Higher values indicate student populations with higher need.

2) Middle - peer index is a value from 1.00-4.50.  For middle schools, we use the average 4th grade proficiency ratings in ELA and Math and the % SpEd. Lower values indicate student populations with higher need.

3) High School - peer index is a value from 1.00-4.50. For high schools, we use the average 8th grade proficiency, the % SpEd, the % Self-contained, and the % overage. Lower values indicate student populations with higher need.",,2601,Education,1.0,0.0
ej9h-v6g2,2018 Central Park Squirrel Census - Hectare Data,Other,"The Squirrel Census (https://www.thesquirrelcensus.com/) is a multimedia science, design, and storytelling project focusing on the Eastern gray (Sciurus carolinensis). They count squirrels and present their findings to the public. This table contains environmental data related to each of the 350 “countable” hectares of Central Park. Examples include weather, litter, animals sighted, and human density.",,978,Environment,1.0,1.0
w5ea-ydu3,DOF: Refund List - Real Property Tax,Department of Finance (DOF),"Details about refund checks for overpaid Property Tax accounts.
DOF issues property refund checks by request if there are tax credits on a property tax account.",,836,City Government,1.0,0.875
2np7-5jsg,2014 Green Taxi Trip Data,Taxi and Limousine Commission (TLC),"This dataset includes trip records from all trips completed in green taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",,1262,Transportation,1.0,0.7
jvce-szsb,Fulton Street Mall businesses,Other,Listing of businesses in the Fulton Mall Improvement Association,,2445,Business,1.0,0.0
sqcr-6mww,311 Service Requests for 2004,311,311 Service Requests for 2004. This is historical data and will not be updated.,,3988,Social Services,1.0,0.0
ay9k-vznm,Workforce1 Job Listing,Department of Small Business Services (SBS),"Listing of job openings registered through Workforce1 Center. This data is up to date as of the date reflected in the ""About"" tab of this dataset.",,2690,Business,1.0,0.0
mpk5-48av,Citywide Mobility Survey - Trip Diary 2017,Department of Transportation (DOT),"The Citywide Mobility Survey is a mixed-methodology survey of New York City residents' travel choices, behaviors, and perceptions. The Trip Diary dataset provides trip-level data.",,3228,Transportation,1.0,0.0
ur7y-ziyb,Associated Address by Borough and Community District,Department of Homeless Services (DHS),Presents the number of cases and individuals for each shelter case type by borough and community district,,945,Social Services,1.0,1.0
gfej-by6h,Primary Care Access and Planning - Health Insurance Enrollment,Department of Health and Mental Hygiene (DOHMH),"Note: Due to the COVID-19 pandemic, in-person health insurance enrollment services will be suspended until further notice. During this period, our enrollment staff will continue to help New Yorkers sign up for low- and no-cost health insurance by phone.

Health insurance enrollment and assistance with SNAP benefits (Food Stamps)

Data collected to promote health insurance enrollment among uninsured New Yorkers. Data collected manually. Each record represents a health center location where health insurance enrollment and assistance with SNAP benefits (Food Stamps) are offered. Data can be used by general public seeking assistance with signing up for health insurance or SNAP. Data may change as program needs are changed, e.g., opening of new site or change in hours of operation at a particular site.",,740,Health,1.0,0.6875
3955-c36a,NYC Health + Hospitals/Options - fees - 2011,NYC Health + Hospitals,NYC Health + Hospitals Options is a discount payment scale that determines fees for NYC Health + Hospitals services for New Yorkers who do not qualify or cannot afford any of the free or low cost health insurance plans available. The reduced fees are based on family size and income. This table shows a sample of the reduced fees available to eligible individuals in 2011.Update Frequency: As needed,,3083,Health,1.0,0.0
am94-epxh,2018 For Hire Vehicles Trip Data,Taxi and Limousine Commission (TLC),"The For-Hire Vehicle (“FHV”) trip records include fields capturing the dispatching base license number and the pick-up date, time, and taxi zone location ID (shape file below). These records are generated from the FHV Trip Record submissions made by bases. Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information.

For more information please refer to http://www.nyc.gov/html/tlc/html/about/trip_record_data.shtml",,720,Transportation,1.0,0.0
cts7-vksw,NYCgov Poverty Measure Data (2018),Mayor's Office for Economic Opportunity,"American Community Survey Public Use Micro Sample, augmented by NYC Opportunity.",,698,City Government,1.0,0.0
qxbt-vysj,2020-21 SMH Service Coverage,Department of Education (DOE),"A snapshot of mental health service coverage in DOE schools.  Data extracts from each mental health service program are compiled monthly, each record represents a school that is covered by a mental health program. Data can be used to determine DOE schools with mental health coverage.  The data does NOT show all mental health programs provided to a school.",,413,Education,1.0,0.0
usep-8jbt,NYC Citywide Rolling Calendar Sales,Department of Finance (DOF),,,1202,,1.0,0.0
5hjv-bjbv,New York City Seasonally Adjusted Employment,Mayor's Office of Management & Budget (OMB),This dataset contains seasonally adjusted employment data for New York City.  Data is reported at the industry level (in units of thousands) and aggregated to total nonfarm and total private levels.  Updates are posted after the not-seasonally-adjusted data is published by the NYS Department of Labor – typically monthly but with irregularities due to annual benchmark revisions.,,930,City Government,1.0,0.0
vwpc-kje2,311 Web Content - Services,311,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. ",,10400,,1.0,0.0
e4ej-j6hn,Directory of Accessible Parks Facilities and Programs,Department of Parks and Recreation (DPR),Recreational facilities in New York City Department of Parks & Recreation properties that are accessible to the disabled.,,2785,Recreation,1.0,0.0
28rh-vpvr,Vehicles,Department of Education (DOE),"OPT maintains an inventory of all the vehicles used by contracted bus vendors in service to the Department of Education. The vehicles inventory can include school buses, ambulances or coach buses. This dataset details the active vehicle inventory for each bus vendor. 
There are a variety of different vehicles used to serve students requiring curb-to-curb service because an Individualized Education Plan (IEP) indicates specific transportation needs. The standard bus is the only vehicle used for general education students eligible for bus service but who do not have an IEP.",,3750,Transportation,1.0,1.0
9z9b-6hvk,Latin Media Organizations,Latin Media & Entertainment Commission (LMEC),Listing of Latin media organizations,,3055,Recreation,1.0,0.0
2t2c-qih9,Full-Time And Full-Time Equivalent Staffing Levels,Mayor's Office of Management & Budget (OMB),"This dataset contains estimated fiscal year-end headcount information for full-time and full-time equivalent employees (FTE).  The information is summarized by agency, personnel type and funding.  The amount fields are whole numbers.  The numbers within can be summarized to match pages from the publication “Full-Time and Full-Time Equivalent Staffing Levels”.",,1259,City Government,1.0,0.0
au2v-djg4,NYC Health + Hospitals WTC 9/11 Health Center – common disorders – 2011,NYC Health + Hospitals,"The NYC Health + Hospitals World Trade Center (WTC) Environmental Health Center, one of three 9/11 health Centers of Excellence in New York City, provides medical and mental healthcare to residents, students, workers, and passersby who may still be sick from 9/11. This data shows the major disorders suffered by patients who were enrolled between 4/1/2010 and 3/31/2011.",,2455,Health,1.0,0.0
cuzb-dmcd,Citywide Public Computer Centers,Office of Technology and Innovation (OTI),"List of public facilities offering computers with internet access, according to administrative data collected by the Mayor's Office of the Chief Technology Officer.",,1106,Social Services,1.0,0.0
ii3r-svjz,Bureau of Fire Investigations - Fire Causes,Fire Department of New York City (FDNY),"Findings of investigations by the Bureau of Fire Investigations.

This data lists the causes of fires found by the Bureau of Fire Investigations. Each record represents a fire related incident investigated by BFI. This dataset contains only closed and completed cases.",,334,Public Safety,1.0,1.0
